competitor_name,market_share,growth_rate,price_competitiveness,product_quality,innovation_level,customer_service,brand_recognition,online_presence,primary_categories
메가전자,20.5,11.0,4.3,4.3,3.8,4.1,4.5,4.8,"스마트홈, 음향기기, 컴퓨터"
테크노바,16.5,-1.1,2.7,4.2,4.9,4.5,2.9,5.0,"컴퓨터, 모바일 전자기기, 음향기기, 스마트홈"
디지털월드,13.7,17.1,3.8,3.6,4.8,4.8,4.2,4.7,"가전제품, 음향기기, 모바일 전자기기, 컴퓨터"
스마트라이프,16.2,1.3,2.3,4.0,3.7,2.2,4.3,5.0,"스마트홈, 모바일 전자기기, 가전제품, 음향기기"
테크프로,7.8,-0.1,3.7,4.9,3.1,4.0,2.7,2.9,"가전제품, 컴퓨터"
이노베이션스,13.2,3.2,4.0,4.1,2.5,3.7,4.4,4.9,"모바일 전자기기, 컴퓨터"
퓨처테크,7.7,0.5,4.2,3.3,4.5,2.4,4.2,4.6,"스마트홈, 컴퓨터, 가전제품"
디지털허브,13.2,-2.3,3.9,2.2,2.8,4.5,4.7,2.6,"모바일 전자기기, 음향기기, 스마트홈, 컴퓨터"
테크노에이스,20.7,9.5,4.3,2.6,2.1,2.8,4.7,3.6,"가전제품, 컴퓨터, 음향기기, 모바일 전자기기"
스마트솔루션즈,22.5,9.7,4.6,2.4,3.5,2.3,3.1,2.0,"음향기기, 가전제품"
